FID,id,global_id,name,ward_code,timestamp,geom,lga_name,state_code,state_name
sv_factory_sites.fid-4f319755_16f104f4870_-6e8d,4443,e52d1a67-c0bd-4479-80f7-2f61262a472c,Palm Kernel Factory,OYSOSO01,10:17:21,POINT (4.1948339 8.5656659),Olorunsogo,OY,Oyo
sv_factory_sites.fid-4f319755_16f104f4870_-6e8c,4444,469589d2-ec94-45b0-b2b8-c52ff19b9718,Oyo Sugarcane Processor Limited,OYSISN04,10:17:21,POINT (3.659918333 7.932648333),Iseyin,OY,Oyo
sv_factory_sites.fid-4f319755_16f104f4870_-6e8b,4445,40725e1f-7a72-4eaf-b123-17ef78bec419,Grace Poly,OYSOWT09,10:17:21,POINT (3.8875178 7.8002569),Oyo West,OY,Oyo
sv_factory_sites.fid-4f319755_16f104f4870_-6e8a,4446,7a07b16e-155b-414b-88bf-cebe437e1cfa,Oja Oke,OYSOWT09,10:17:21,POINT (3.8940458 7.7996768),Oyo West,OY,Oyo
sv_factory_sites.fid-4f319755_16f104f4870_-6e89,4447,45c2edbd-c0fe-42a1-b94b-93f36bf3e1d6,Iya Funmi Garri Production Industry,OYSIJA04,10:17:21,POINT (3.221355 7.832805),Iwajowa,OY,Oyo
sv_factory_sites.fid-4f319755_16f104f4870_-6e88,4448,0d7d26ab-c6e1-40a4-8a8d-e2bf1fc39d74,Omo One Block Industry,OYSAKE08,10:17:21,POINT (3.862873333 7.516356667),Akinyele,OY,Oyo
sv_factory_sites.fid-4f319755_16f104f4870_-6e87,4449,aeb5379c-028b-417b-8fbb-cd44edf213da,Gari Processing Factory,OYSAKE08,10:17:21,POINT (3.914322508409692 7.527974389466962),Akinyele,OY,Oyo
sv_factory_sites.fid-4f319755_16f104f4870_-6e86,4450,285020e6-6b65-4327-bb9f-4c8d70f945df,Anu Pure Water Factory,OYSKAA02,10:17:21,POINT (3.354051667 8.081841667),Kajola,OY,Oyo
sv_factory_sites.fid-4f319755_16f104f4870_-6e85,4451,4aa0b0f1-0371-40b3-b8b6-8e2f885a3ddd,New Bay Engineering Limited,OYSOYE09,10:17:21,POINT (3.884648333 7.332743333),Oluyole,OY,Oyo
sv_factory_sites.fid-4f319755_16f104f4870_-6e84,4452,d7a1aa88-e86a-4835-a583-6d12e29d6c52,Aba Eemo,OYSIDO08,10:17:21,POINT (3.569931667 7.477993333),Ido,OY,Oyo
sv_factory_sites.fid-4f319755_16f104f4870_-6e83,4453,9c6e0a4d-6f27-4275-9df1-9a4c8e6ec3ba,Abina Ohatokwe,EBSCHR20,10:17:21,POINT (8.121701667 6.046551667),Ikwo,EB,Ebonyi
sv_factory_sites.fid-4f319755_16f104f4870_-6e82,4454,d394e4fc-4887-4532-9c17-dd4bed4b3334,Jarmla Investment Nig Limited Assakio,NASLFA06,10:17:21,POINT (8.861023057932265 8.604287863046288),Lafia,NA,Nasarawa
sv_factory_sites.fid-4f319755_16f104f4870_-6e81,4455,a6536473-7cfa-487c-9673-3a449118c248,Ega Tota Block Industry,NASLFA06,10:17:21,POINT (8.851402822523154 8.597871231627026),Lafia,NA,Nasarawa
sv_factory_sites.fid-4f319755_16f104f4870_-6e80,4456,fe9149e5-47c5-410d-8f1a-6af43b587f86,Aseyoneshi International Blocks Industry Assakio,NASLFA06,10:17:21,POINT (8.851058598294163 8.597738799159245),Lafia,NA,Nasarawa
sv_factory_sites.fid-4f319755_16f104f4870_-6e7f,4457,bc58ed14-3fd2-4a78-b428-cb01a2891e25,Nelson Yilban Longyil Building and Construction Industry,NASLFA06,10:17:21,POINT (8.850967266192528 8.598219955168165),Lafia,NA,Nasarawa
